"","stock","method","value"
"128",8.26530612244898,"MLE",0.306122448979592
"129",8.57142857142857,"MLE",0.612244897959184
"130",8.87755102040816,"MLE",0.918367346938776
"131",9.18367346938776,"MLE",1.22448979591837
"132",9.48979591836735,"MLE",1.53061224489796
"133",9.79591836734694,"MLE",1.83673469387755
"134",10.1020408163265,"MLE",2.14285714285714
"135",10.4081632653061,"MLE",2.44897959183673
"136",10.7142857142857,"MLE",2.75510204081633
"137",11.0204081632653,"MLE",3.06122448979592
"138",11.3265306122449,"MLE",3.36734693877551
"139",11.6326530612245,"MLE",3.6734693877551
"140",11.9387755102041,"MLE",3.97959183673469
"141",12.2448979591837,"MLE",4.28571428571429
"142",12.5510204081633,"MLE",4.59183673469388
"143",12.8571428571429,"MLE",4.89795918367347
"144",13.1632653061224,"MLE",5.20408163265306
