"","index","variable","value","chain"
"2843",139,"deviance",36.3038768805283,5
"2844",140,"deviance",37.4906346058895,5
"2845",141,"deviance",37.9366894117134,5
"2846",142,"deviance",37.069174933943,5
"2847",143,"deviance",37.016819075645,5
"2848",144,"deviance",37.336207334011,5
"2849",145,"deviance",40.1603237156729,5
"2850",146,"deviance",35.1852032876787,5
"2851",147,"deviance",35.582927063035,5
"2852",148,"deviance",35.5777694065922,5
"2853",149,"deviance",36.6914987614374,5
"2854",150,"deviance",35.4288048714225,5
"2855",151,"deviance",36.6306635947831,5
"2856",152,"deviance",34.4860622666581,5
"2857",153,"deviance",36.2560174856723,5
"2858",154,"deviance",39.3628086429603,5
"2859",155,"deviance",36.2964287722302,5
"2860",156,"deviance",35.0807731316524,5
"2861",157,"deviance",36.501063254241,5
"2862",158,"deviance",37.7489784646257,5
"2863",159,"deviance",39.7208998749809,5
"2864",160,"deviance",41.0176733764729,5
"2865",161,"deviance",42.6187118414254,5
"2866",162,"deviance",36.577183051043,5
"2867",163,"deviance",38.5274372254403,5
"2868",164,"deviance",40.4167761457588,5
"2869",165,"deviance",36.6948198252217,5
"2870",166,"deviance",38.8197788954987,5
"2871",167,"deviance",35.8490494882819,5
"2872",168,"deviance",38.6678399302538,5
"2873",169,"deviance",44.4743099161932,5
"2874",1,"K",8.97492597673605,5
"2875",2,"K",7.57339117896671,5
"2876",3,"K",7.41268526402453,5
"2877",4,"K",7.59069282149479,5
"2878",5,"K",8.33605043364348,5
"2879",6,"K",7.39047311293094,5
"2880",7,"K",7.35317851079895,5
"2881",8,"K",17.1433383346285,5
"2882",9,"K",7.63405653072627,5
"2883",10,"K",7.74737977109853,5
"2884",11,"K",7.73958754412306,5
"2885",12,"K",7.49466960681252,5
"2886",13,"K",7.48173311457123,5
"2887",14,"K",7.66367998913384,5
"2888",15,"K",7.76200041334314,5
"2889",16,"K",7.85245032203365,5
"2890",17,"K",7.83499439205662,5
"2891",18,"K",7.57057299668381,5
"2892",19,"K",7.61191155512959,5
"2893",20,"K",7.71817392426124,5
"2894",21,"K",7.72725169978047,5
"2895",22,"K",8.27261420078479,5
"2896",23,"K",7.44856827171453,5
"2897",24,"K",7.6966759422357,5
"2898",25,"K",6.86608540627394,5
"2899",26,"K",7.37470459780619,5
"2900",27,"K",7.562813613173,5
"2901",28,"K",10.440311143081,5
"2902",29,"K",7.65746162632709,5
"2903",30,"K",7.52921592857124,5
"2904",31,"K",7.65683752517183,5
"2905",32,"K",26.5194667188329,5
"2906",33,"K",7.88290737506281,5
"2907",34,"K",7.35008685823837,5
"2908",35,"K",7.28326281178826,5
"2909",36,"K",7.61094073637552,5
"2910",37,"K",7.764894943313,5
"2911",38,"K",7.46028955234404,5
"2912",39,"K",7.62740077442173,5
"2913",40,"K",7.46459822540482,5
"2914",41,"K",7.46956516880671,5
"2915",42,"K",8.3897707700142,5
"2916",43,"K",7.67677403738602,5
"2917",44,"K",7.75539339257281,5
"2918",45,"K",8.09321572117982,5
"2919",46,"K",7.7019162369895,5
"2920",47,"K",7.57595550759962,5
"2921",48,"K",8.34716937686281,5
"2922",49,"K",6.92322599826153,5
"2923",50,"K",7.70349048583289,5
"2924",51,"K",7.49786125037148,5
"2925",52,"K",7.99059197808398,5
"2926",53,"K",7.49972243079077,5
"2927",54,"K",7.69342837421109,5
"2928",55,"K",8.11771665433833,5
"2929",56,"K",8.64672491777252,5
"2930",57,"K",8.0056069370293,5
"2931",58,"K",8.48459705050744,5
"2932",59,"K",7.29059178614783,5
"2933",60,"K",7.30447811780305,5
"2934",61,"K",7.98275753595935,5
"2935",62,"K",7.74789789660858,5
"2936",63,"K",7.71947758278302,5
"2937",64,"K",9.92285885321566,5
"2938",65,"K",6.92954248666515,5
"2939",66,"K",7.72267252550329,5
"2940",67,"K",10.8249401173301,5
"2941",68,"K",7.1240903572237,5
"2942",69,"K",7.8936048282316,5
"2943",70,"K",7.83172823420855,5
"2944",71,"K",7.83533116872089,5
"2945",72,"K",7.24717506853161,5
"2946",73,"K",7.10912943522502,5
"2947",74,"K",7.09392272705619,5
"2948",75,"K",8.29523998219913,5
"2949",76,"K",7.7771733495891,5
"2950",77,"K",25.476981431294,5
"2951",78,"K",7.70099916620237,5
"2952",79,"K",6.96833048774878,5
"2953",80,"K",7.35891602055658,5
"2954",81,"K",7.97431978347665,5
"2955",82,"K",7.69117540026836,5
"2956",83,"K",7.74004107475088,5
"2957",84,"K",7.61066398479918,5
"2958",85,"K",8.38704295852626,5
"2959",86,"K",8.31217493268529,5
"2960",87,"K",7.63498162517544,5
"2961",88,"K",7.69725765962689,5
"2962",89,"K",8.16237182814549,5
"2963",90,"K",7.26432569962488,5
"2964",91,"K",7.5648874479853,5
"2965",92,"K",7.45546222895539,5
"2966",93,"K",7.65508357984835,5
"2967",94,"K",7.33797023164419,5
"2968",95,"K",7.82272891962291,5
"2969",96,"K",8.41293659731248,5
"2970",97,"K",7.7943409679088,5
"2971",98,"K",7.87734688383536,5
"2972",99,"K",9.95381786102935,5
"2973",100,"K",8.01772222840225,5
"2974",101,"K",7.40985618333412,5
"2975",102,"K",10.0150981842494,5
"2976",103,"K",7.38622697125721,5
"2977",104,"K",8.05451999059955,5
"2978",105,"K",17.9969055059025,5
"2979",106,"K",7.26291317621368,5
"2980",107,"K",7.62341822152011,5
"2981",108,"K",7.81885230098101,5
"2982",109,"K",7.75896587632076,5
"2983",110,"K",7.3435123079111,5
"2984",111,"K",7.30283221401585,5
"2985",112,"K",9.62014741276858,5
"2986",113,"K",7.23281164440713,5
"2987",114,"K",7.69674237578123,5
"2988",115,"K",7.59525033856538,5
"2989",116,"K",7.86541538121175,5
"2990",117,"K",7.64903354560921,5
"2991",118,"K",8.25413117936191,5
"2992",119,"K",7.69425959943364,5
"2993",120,"K",7.60124052067374,5
"2994",121,"K",7.51017528280549,5
"2995",122,"K",7.58459818652695,5
"2996",123,"K",7.65356062535914,5
"2997",124,"K",7.36044613773309,5
"2998",125,"K",7.52098376993704,5
"2999",126,"K",7.60341038788672,5
"3000",127,"K",7.47561229195656,5
"3001",128,"K",7.11375107771859,5
"3002",129,"K",7.36048144719526,5
"3003",130,"K",21.2377438040527,5
"3004",131,"K",8.21049009787928,5
"3005",132,"K",7.8193453733343,5
"3006",133,"K",7.63519597250936,5
"3007",134,"K",7.29272700268124,5
"3008",135,"K",7.5327962044742,5
"3009",136,"K",9.5780073273685,5
"3010",137,"K",9.58809748873768,5
"3011",138,"K",7.97916836546059,5
"3012",139,"K",7.71311264080491,5
"3013",140,"K",7.33199824631194,5
"3014",141,"K",7.14199608099744,5
"3015",142,"K",7.64316500477077,5
"3016",143,"K",7.25576541834835,5
"3017",144,"K",7.51577498621989,5
"3018",145,"K",6.86928596726235,5
"3019",146,"K",7.65860286683537,5
"3020",147,"K",7.76281143993877,5
"3021",148,"K",7.36975583248815,5
"3022",149,"K",7.63749829237945,5
"3023",150,"K",7.49679322847207,5
"3024",151,"K",7.50013957159101,5
"3025",152,"K",7.70929999757037,5
"3026",153,"K",7.79341486713507,5
"3027",154,"K",7.969178248083,5
"3028",155,"K",8.04066237544205,5
"3029",156,"K",7.53417683715656,5
"3030",157,"K",7.53070679236911,5
"3031",158,"K",7.29270878228907,5
"3032",159,"K",7.27305290901736,5
"3033",160,"K",8.96005016323523,5
"3034",161,"K",24.9986223844914,5
"3035",162,"K",8.11563078266347,5
"3036",163,"K",7.72291519710034,5
"3037",164,"K",9.08335139970634,5
"3038",165,"K",7.97098678333341,5
"3039",166,"K",7.84851097305096,5
"3040",167,"K",7.37269920221783,5
"3041",168,"K",7.17587817241541,5
"3042",169,"K",16.0578699178779,5
"3043",1,"r0",0.0652979346537107,5
"3044",2,"r0",0.236736789751243,5
"3045",3,"r0",0.301976499438718,5
"3046",4,"r0",0.216119766555865,5
"3047",5,"r0",0.105615132777801,5
"3048",6,"r0",0.226490073765172,5
"3049",7,"r0",0.201786283514242,5
"3050",8,"r0",0.0216868244770578,5
"3051",9,"r0",0.469550552505893,5
"3052",10,"r0",0.304838012391613,5
"3053",11,"r0",0.16886900345106,5
"3054",12,"r0",0.150616811873155,5
"3055",13,"r0",0.277396320626194,5
"3056",14,"r0",0.212959946897883,5
"3057",15,"r0",0.0645688864884382,5
"3058",16,"r0",0.287250783443181,5
"3059",17,"r0",0.146286356057761,5
"3060",18,"r0",0.24829646155652,5
"3061",19,"r0",0.11920065633313,5
"3062",20,"r0",0.198905852147385,5
"3063",21,"r0",0.122733667900383,5
"3064",22,"r0",0.180844359797421,5
"3065",23,"r0",0.172976695560709,5
"3066",24,"r0",0.126429553673611,5
"3067",25,"r0",0.11986224919712,5
"3068",26,"r0",0.266530747772848,5
"3069",27,"r0",0.272169804411492,5
"3070",28,"r0",0.0555927515988251,5
"3071",29,"r0",0.258007109800524,5
"3072",30,"r0",0.245752235312724,5
"3073",31,"r0",0.220658033549464,5
"3074",32,"r0",0.0200124765906721,5
"3075",33,"r0",0.197657705407041,5
"3076",34,"r0",0.196133010160595,5
"3077",35,"r0",0.118251442007157,5
"3078",36,"r0",0.369403436281083,5
"3079",37,"r0",0.199827711965633,5
"3080",38,"r0",0.144931307523649,5
