"","model","parameters","replicate","simulation","noise","value"
"65","Allen","C","65","1","0.01",0.994475138121547
"66","Allen","C","66","1","0.01",0.994594594594595
"67","Allen","C","67","1","0.01",0.994565217391304
"68","Allen","C","68","1","0.01",1
"69","Allen","C","69","1","0.01",0.994535519125683
"70","Allen","C","70","1","0.01",0.994565217391304
"71","Allen","C","71","1","0.01",0.994413407821229
"72","Allen","C","72","1","0.01",0.994594594594595
"73","Allen","C","73","1","0.01",0.994565217391304
"74","Allen","C","74","1","0.01",0.989071038251366
"75","Allen","C","75","1","0.01",0.994535519125683
"76","Allen","C","76","1","0.01",0.994413407821229
"77","Allen","C","77","1","0.01",0.99438202247191
"78","Allen","C","78","1","0.01",0.994505494505495
"79","Allen","C","79","1","0.01",0.994652406417112
"80","Allen","C","80","1","0.01",1
"81","Allen","C","81","1","0.01",0.994594594594595
"82","Allen","C","82","1","0.01",0.994413407821229
"83","Allen","C","83","1","0.01",1
"84","Allen","C","84","1","0.01",0.994535519125683
"85","Allen","C","85","1","0.01",0.994505494505495
"86","Allen","C","86","1","0.01",1
"87","Allen","C","87","1","0.01",0.994535519125683
"88","Allen","C","88","1","0.01",0.994535519125683
"89","Allen","C","89","1","0.01",0.994565217391304
"90","Allen","C","90","1","0.01",0.994535519125683
"91","Allen","C","91","1","0.01",1
"92","Allen","C","92","1","0.01",0.994535519125683
"93","Allen","C","93","1","0.01",0.994475138121547
"94","Allen","C","94","1","0.01",0.994413407821229
"95","Allen","C","95","1","0.01",0.994652406417112
"96","Allen","C","96","1","0.01",0.994623655913978
"97","Allen","C","97","1","0.01",0.994565217391304
"98","Allen","C","98","1","0.01",1
"99","Allen","C","99","1","0.01",0.994565217391304
"100","Allen","C","100","1","0.01",0.994475138121547
"101","Allen","C","1","2","0.01",0.994565217391304
"102","Allen","C","2","2","0.01",0.994623655913978
"103","Allen","C","3","2","0.01",0.994444444444445
"104","Allen","C","4","2","0.01",0.989130434782609
"105","Allen","C","5","2","0.01",0.994535519125683
"106","Allen","C","6","2","0.01",0.994535519125683
"107","Allen","C","7","2","0.01",0.994623655913978
"108","Allen","C","8","2","0.01",0.989010989010989
"109","Allen","C","9","2","0.01",0.994535519125683
"110","Allen","C","10","2","0.01",0.989010989010989
"111","Allen","C","11","2","0.01",0.989071038251366
"112","Allen","C","12","2","0.01",0.994535519125683
"113","Allen","C","13","2","0.01",0.994475138121547
"114","Allen","C","14","2","0.01",0.99438202247191
"115","Allen","C","15","2","0.01",0.994505494505495
"116","Allen","C","16","2","0.01",0.994535519125683
"117","Allen","C","17","2","0.01",0.994505494505495
"118","Allen","C","18","2","0.01",0.994535519125683
"119","Allen","C","19","2","0.01",0.994565217391304
"120","Allen","C","20","2","0.01",0.989071038251366
"121","Allen","C","21","2","0.01",0.994475138121547
"122","Allen","C","22","2","0.01",0.989130434782609
"123","Allen","C","23","2","0.01",0.994535519125683
"124","Allen","C","24","2","0.01",0.988826815642458
"125","Allen","C","25","2","0.01",0.994594594594595
"126","Allen","C","26","2","0.01",0.983695652173913
"127","Allen","C","27","2","0.01",1
"128","Allen","C","28","2","0.01",0.994350282485876
"129","Allen","C","29","2","0.01",0.989130434782609
"130","Allen","C","30","2","0.01",0.989247311827957
