"","allee","replicate","sim","value","noise","L1"
"73",1,"73","1",0.976501305483029,0.05,1
"74",1,"74","1",0.973474801061008,0.05,1
"75",1,"75","1",0.976127320954907,0.05,1
"76",1,"76","1",0.975274725274725,0.05,1
"77",1,"77","1",0.975,0.05,1
"78",1,"78","1",0.973262032085562,0.05,1
"79",1,"79","1",0.979746835443038,0.05,1
"80",1,"80","1",0.97289972899729,0.05,1
"81",1,"81","1",0.976744186046512,0.05,1
"82",1,"82","1",0.975206611570248,0.05,1
"83",1,"83","1",0.970822281167109,0.05,1
"84",1,"84","1",0.976190476190476,0.05,1
"85",1,"85","1",0.975935828877005,0.05,1
"86",1,"86","1",0.976063829787234,0.05,1
"87",1,"87","1",0.976127320954907,0.05,1
"88",1,"88","1",0.976190476190476,0.05,1
"89",1,"89","1",0.979057591623037,0.05,1
"90",1,"90","1",0.973544973544973,0.05,1
"91",1,"91","1",0.979166666666667,0.05,1
"92",1,"92","1",0.976315789473684,0.05,1
"93",1,"93","1",0.978319783197832,0.05,1
"94",1,"94","1",0.972527472527473,0.05,1
"95",1,"95","1",0.977099236641221,0.05,1
"96",1,"96","1",0.979539641943734,0.05,1
"97",1,"97","1",0.979057591623037,0.05,1
"98",1,"98","1",0.975609756097561,0.05,1
"99",1,"99","1",0.976439790575916,0.05,1
"100",1,"100","1",0.972972972972973,0.05,1
"101",1,"1","2",1,0.05,1
"102",1,"2","2",1,0.05,1
"103",1,"3","2",1,0.05,1
"104",1,"4","2",1,0.05,1
"105",1,"5","2",1,0.05,1
"106",1,"6","2",1,0.05,1
"107",1,"7","2",1,0.05,1
"108",1,"8","2",1,0.05,1
"109",1,"9","2",1,0.05,1
"110",1,"10","2",1,0.05,1
"111",1,"11","2",1,0.05,1
"112",1,"12","2",1,0.05,1
"113",1,"13","2",1,0.05,1
"114",1,"14","2",1,0.05,1
"115",1,"15","2",1,0.05,1
"116",1,"16","2",1,0.05,1
"117",1,"17","2",1,0.05,1
"118",1,"18","2",1,0.05,1
"119",1,"19","2",1,0.05,1
"120",1,"20","2",1,0.05,1
"121",1,"21","2",1,0.05,1
"122",1,"22","2",1,0.05,1
"123",1,"23","2",1,0.05,1
"124",1,"24","2",1,0.05,1
"125",1,"25","2",1,0.05,1
"126",1,"26","2",1,0.05,1
"127",1,"27","2",1,0.05,1
"128",1,"28","2",1,0.05,1
"129",1,"29","2",1,0.05,1
"130",1,"30","2",1,0.05,1
"131",1,"31","2",1,0.05,1
"132",1,"32","2",1,0.05,1
"133",1,"33","2",1,0.05,1
"134",1,"34","2",1,0.05,1
"135",1,"35","2",1,0.05,1
"136",1,"36","2",1,0.05,1
"137",1,"37","2",1,0.05,1
"138",1,"38","2",1,0.05,1
"139",1,"39","2",1,0.05,1
"140",1,"40","2",1,0.05,1
