"","stock","y","ymin","ymax","variable","value","L1"
"9851",3.06122448979592,2.94694067114332,2.4834793194874,3.41040202279924,"GP",2.94694067114332,42
"9852",3.36734693877551,3.33582166552623,2.89607928218652,3.77556404886594,"GP",3.33582166552623,42
"9853",3.6734693877551,3.72788726203595,3.31666667943536,4.13910784463655,"GP",3.72788726203595,42
"9854",3.97959183673469,4.11999228200744,3.74097988920707,4.49900467480782,"GP",4.11999228200744,42
"9855",4.28571428571429,4.50884590958483,4.16444281061946,4.85324900855019,"GP",4.50884590958483,42
"9856",4.59183673469388,4.89105268652841,4.58228944953962,5.19981592351719,"GP",4.89105268652841,42
"9857",4.89795918367347,5.26315953989167,4.98970392902028,5.53661515076306,"GP",5.26315953989167,42
"9858",5.20408163265306,5.62170504438066,5.38197850117739,5.86143158758394,"GP",5.62170504438066,42
"9859",5.51020408163265,5.96327222961671,5.75469378663085,6.17185067260257,"GP",5.96327222961671,42
"9860",5.81632653061224,6.28454242210666,6.10390689846223,6.46517794575109,"GP",6.28454242210666,42
"9861",6.12244897959184,6.58234875711627,6.42630014540058,6.73839736883195,"GP",6.58234875711627,42
"9862",6.42857142857143,6.85372902407178,6.71919439749634,6.98826365064723,"GP",6.85372902407178,42
"9863",6.73469387755102,7.09597531537336,6.9802874310681,7.21166319967862,"GP",7.09597531537336,42
"9864",7.04081632653061,7.30668059637993,7.20695826670503,7.40640292605483,"GP",7.30668059637993,42
"9865",7.3469387755102,7.48377994117774,7.39502227590865,7.57253760644682,"GP",7.48377994117774,42
"9866",7.6530612244898,7.62558630549947,7.53774392616936,7.71342868482957,"GP",7.62558630549947,42
"9867",7.95918367346939,7.7308201052354,7.62853917597162,7.83310103449918,"GP",7.7308201052354,42
"9868",8.26530612244898,7.79863185340524,7.66609902370441,7.93116468310607,"GP",7.79863185340524,42
"9869",8.57142857142857,7.82861765340578,7.65294864606746,8.00428666074409,"GP",7.82861765340578,42
"9870",8.87755102040816,7.82082771859978,7.59181475152327,8.04984068567629,"GP",7.82082771859978,42
"9871",9.18367346938776,7.77576719405851,7.48498713812209,8.06654724999492,"GP",7.77576719405851,42
"9872",9.48979591836735,7.69439044664147,7.33471797081714,8.0540629224658,"GP",7.69439044664147,42
"9873",9.79591836734694,7.57808798242326,7.14351014540108,8.01266581944543,"GP",7.57808798242326,42
"9874",10.1020408163265,7.42866675079555,6.91423344060511,7.943100060986,"GP",7.42866675079555,42
"9875",10.4081632653061,7.24832452896258,6.65014704597652,7.84650201194865,"GP",7.24832452896258,42
"9876",10.7142857142857,7.03961710901589,6.35487458402387,7.72435963400791,"GP",7.03961710901589,42
"9877",11.0204081632653,6.80542061320106,6.03235622051781,7.57848500588432,"GP",6.80542061320106,42
"9878",11.3265306122449,6.54888784134864,5.68678713460084,7.41098854809645,"GP",6.54888784134864,42
"9879",11.6326530612245,6.27339918244561,5.32254803037481,7.22425033451641,"GP",6.27339918244561,42
